Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,"1,968",65,20,0.09,0.042,14.0,1.2,5.4967,66.8
6%,"1,968",65,30,0.07,0.042,14.0,1.2,5.4967,61.8
6%,"1,968",70,20,0.09,0.042,14.0,1.2,5.4967,63.6
6%,"1,968",70,30,0.07,0.042,14.0,1.2,5.4967,59.0
6%,"1,968",75,20,0.09,0.042,14.0,1.2,5.4967,60.9
6%,"1,968",75,30,0.07,0.042,14.0,1.2,5.4967,56.5
4%,"6,068",65,20,0.07,0.042,11.0,1.2,5.4967,141.9
4%,"6,068",65,30,0.06,0.042,11.0,1.2,5.4967,125.2
4%,"6,068",70,20,0.07,0.042,11.0,1.2,5.4967,133.1
4%,"6,068",70,30,0.06,0.042,11.0,1.2,5.4967,117.5
4%,"6,068",75,20,0.07,0.042,11.0,1.2,5.4967,125.5
4%,"6,068",75,30,0.06,0.042,11.0,1.2,5.4967,110.9
4%,"4,018",65,20,0.07,0.042,13.0,1.2,5.4967,102.6
4%,"4,018",65,30,0.06,0.042,13.0,1.2,5.4967,91.5
4%,"4,018",70,20,0.07,0.042,13.0,1.2,5.4967,96.8
4%,"4,018",70,30,0.06,0.042,13.0,1.2,5.4967,86.5
4%,"4,018",75,20,0.07,0.042,13.0,1.2,5.4967,91.7
4%,"4,018",75,30,0.06,0.042,13.0,1.2,5.4967,82.1
4%,"1,968",65,20,0.07,0.042,14.0,1.2,5.4967,62.1
4%,"1,968",65,30,0.06,0.042,14.0,1.2,5.4967,56.7
4%,"1,968",70,20,0.07,0.042,14.0,1.2,5.4967,59.3
4%,"1,968",70,30,0.06,0.042,14.0,1.2,5.4967,54.2
4%,"1,968",75,20,0.07,0.042,14.0,1.2,5.4967,56.8
4%,"1,968",75,30,0.06,0.042,14.0,1.2,5.4967,52.1
